Algorithm,N,Mean_Training_Time,Previous_N,N_Factor,Time_Growth_Factor,Empirical_Exponent
SVM,1000,0.018686900002649054,,,,
SVM,5000,0.3978988000017125,1000.0,5.0,21.292927127843914,1.9002752042918156
SVM,10000,1.9359344999829773,5000.0,2.0,4.865394165487921,2.282556688369045
CNN,1000,1.3377171000174712,,,,
CNN,5000,2.995785999984946,1000.0,5.0,2.239476493158247,0.5009464011705995
CNN,10000,4.994086599996081,5000.0,2.0,1.6670371648779907,0.7372862680840739
Random Forest,1000,0.15380269999150187,,,,
Random Forest,5000,0.46442770000430755,1000.0,5.0,3.0196329455202595,0.6866591586066166
Random Forest,10000,0.7531293999927584,5000.0,2.0,1.6216289424290866,0.6974437430086528
XGBoost,1000,0.05110330000752583,,,,
XGBoost,5000,0.0838242000027094,1000.0,5.0,1.640289374470237,0.3074816805888962
XGBoost,10000,0.11696270000538789,5000.0,2.0,1.395333328580617,0.48060980595842856
Naive Bayes,1000,0.001984200003789738,,,,
Naive Bayes,5000,0.0031758999975863844,1000.0,5.0,1.600594693841624,0.29226057134947314
Naive Bayes,10000,0.0035754000127781183,5000.0,2.0,1.125791119208837,0.1709391726789072
