N,Algorithm,Trial,Training_Time,Accuracy,Status,Error
1000,SVM,1,0.018686900002649054,0.7392,Success,
1000,CNN,1,1.3377171000174712,0.7288,Success,
1000,Random Forest,1,0.15380269999150187,0.736,Success,
1000,XGBoost,1,0.05110330000752583,0.7217,Success,
1000,Naive Bayes,1,0.001984200003789738,0.7149,Success,
5000,SVM,1,0.3978988000017125,0.7487,Success,
5000,CNN,1,2.995785999984946,0.7484,Success,
5000,Random Forest,1,0.46442770000430755,0.7385,Success,
5000,XGBoost,1,0.0838242000027094,0.739,Success,
5000,Naive Bayes,1,0.0031758999975863844,0.7197,Success,
10000,SVM,1,1.9359344999829773,0.7521,Success,
10000,CNN,1,4.994086599996081,0.75,Success,
10000,Random Forest,1,0.7531293999927584,0.7403,Success,
10000,XGBoost,1,0.11696270000538789,0.7515,Success,
10000,Naive Bayes,1,0.0035754000127781183,0.7206,Success,
